customer_key,customer_id,first_name,last_name,marital_status,gender,birth_date,country,create_date
1,AW00011000,Jon,Yang,Married,Male,1971-10-06,Australia,2025-10-06
2,AW00011001,Eugene,Huang,Single,Male,1976-05-10,Australia,2025-10-06
3,AW00011002,Ruben,Torres,Married,Male,1971-02-09,Australia,2025-10-06
4,AW00011003,Christy,Zhu,Single,Female,1973-08-14,Australia,2025-10-06
5,AW00011004,Elizabeth,Johnson,Single,Female,1979-08-05,Australia,2025-10-06
6,AW00011005,Julio,Ruiz,Single,Male,1976-08-01,Australia,2025-10-06
7,AW00011006,Janet,Alvarez,Single,Female,1976-12-02,Australia,2025-10-06
8,AW00011007,Marco,Mehta,Married,Male,1969-11-06,Australia,2025-10-06
9,AW00011008,Rob,Verhoff,Single,Female,1975-07-04,Australia,2025-10-06
10,AW00011009,Shannon,Carlson,Single,Male,1969-09-29,Australia,2025-10-06
11,AW00011010,Jacquelyn,Suarez,Single,Female,1969-08-05,Australia,2025-10-06
12,AW00011011,Curtis,Lu,Married,Male,1969-05-03,Australia,2025-10-06
13,AW00011012,Lauren,Walker,Married,Female,1979-01-14,United States,2025-10-06
14,AW00011013,Ian,Jenkins,Married,Male,1979-08-03,United States,2025-10-06
15,AW00011014,Sydney,Bennett,Single,Female,1973-11-06,United States,2025-10-06
16,AW00011015,Chloe,Young,Single,Female,1984-08-26,United States,2025-10-06
17,AW00011016,Wyatt,Hill,Married,Male,1984-10-25,United States,2025-10-07
18,AW00011017,Shannon,Wang,Single,Female,1949-12-24,Australia,2025-10-07
19,AW00011018,Clarence,Rai,Single,Male,1955-10-06,Australia,2025-10-07
20,AW00011019,Luke,Lal,Single,Male,1983-09-04,Canada,2025-10-07
21,AW00011020,Jordan,King,Single,Male,1984-03-19,Canada,2025-10-07
22,AW00011021,Destiny,Wilson,Single,Female,1984-03-02,United States,2025-10-07
23,AW00011022,Ethan,Zhang,Married,Female,1984-04-10,United States,2025-10-07
24,AW00011023,Seth,Edwards,Married,Female,1984-04-09,United States,2025-10-07
25,AW00011024,Russell,Xie,Married,Female,1984-03-16,United States,2025-10-07
26,AW00011025,Alejandro,Beck,Married,Female,1951-06-22,Australia,2025-10-07
27,AW00011026,Harold,Sai,Single,Female,1951-10-01,Australia,2025-10-07
28,AW00011027,Jessie,Zhao,Married,Female,1952-06-05,Australia,2025-10-07
29,AW00011028,Jill,Jimenez,Married,Female,1951-10-09,Australia,2025-10-07
30,AW00011029,Jimmy,Moreno,Married,Female,1952-06-19,Australia,2025-10-07
31,AW00011030,Bethany,Yuan,Married,Female,1958-02-18,Australia,2025-10-07
32,AW00011031,Theresa,Ramos,Married,Female,1953-02-18,Australia,2025-10-07
33,AW00011032,Denise,Stone,Married,Female,1952-12-08,Australia,2025-10-07
34,AW00011033,Jaime,Nath,Married,Female,1958-09-19,Australia,2025-10-07
35,AW00011034,Ebony,Gonzalez,Married,Female,1952-12-16,Australia,2025-10-07
36,AW00011035,Wendy,Dominguez,Married,Female,1953-08-23,Australia,2025-10-07
37,AW00011036,Jennifer,Russell,Married,Female,1984-06-16,United States,2025-10-07
38,AW00011037,Chloe,Garcia,Single,Female,1983-05-27,Canada,2025-10-07
39,AW00011038,Diana,Hernandez,Married,Female,1953-09-20,Australia,2025-10-07
40,AW00011039,Marc,Martin,Married,,,Australia,2025-10-07
41,AW00011040,Jesse,Murphy,Married,,,United States,2025-10-07
42,AW00011041,Amanda,Carter,Married,,,United States,2025-10-07
43,AW00011042,Megan,Sanchez,Married,Female,1982-12-11,United States,2025-10-07
44,AW00011043,Nathan,Simmons,Married,Female,1981-08-23,United States,2025-10-07
45,AW00011044,Adam,Flores,Married,Female,1954-11-21,Australia,2025-10-07
46,AW00011045,Leonard,Nara,Single,Female,1955-11-16,Australia,2025-10-07
47,AW00011046,Christine,Yuan,Married,Female,1955-09-19,Australia,2025-10-07
48,AW00011047,Jaclyn,Lu,Married,Female,1955-08-27,Australia,2025-10-07
49,AW00011048,Jeremy,Powell,Married,Female,1956-05-21,Australia,2025-10-07
50,AW00011049,Carol,Rai,Single,Female,1986-01-15,United States,2025-10-07
51,AW00011050,Alan,Zheng,Married,Female,1957-03-06,Australia,2025-10-07
52,AW00011051,Daniel,Johnson,Single,Female,1957-01-31,Australia,2025-10-07
53,AW00011052,Heidi,Lopez,Single,Female,1957-02-03,Australia,2025-10-07
